timestamp,rnti,cqi,pusch_snr,pucch_snr,dl_bler,ul_bler,dl_mcs1,dl_mcs2,ul_mcs1,ul_mcs2,dl_tbs,ul_tbs,dl_aggr_tbs,ul_aggr_tbs,dl_prb,ul_prb,dl_sched_rb,ul_sched_rb,bsr,phr,frame,slot,rlc_tx_pkts,rlc_tx_bytes,rlc_rx_pkts,rlc_rx_bytes,rlc_txbuf,rlc_rxbuf,rlc_retx,pdcp_tx_pkts,pdcp_tx_bytes,pdcp_rx_pkts,pdcp_rx_bytes,dl_thp_kbps,ul_thp_kbps,rlc_sdu_delay_us,pdcp_vol_dl_kb,pdcp_vol_ul_kb,prb_tot_dl,prb_tot_ul,log_rsrp,log_ph,log_pcmax,est_rsrq,est_sinr_dl
1768227244569124,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29030172,166216817,432733,9817738,0,0,0,0,815,4,65236,3587345,208811,160658048,0,0,0,61644,3391583,106958,159830936,0.0,0.0,0.0,0,0,35,35,-44,0,0,-34.0,25.0
1768227244579103,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29030172,166216933,432733,9817743,0,0,0,0,822,0,65236,3587345,208811,160658048,0,0,0,61644,3391583,106958,159830936,0.0,0.0,0.0,0,0,35,35,-44,0,0,-34.0,25.0
1768227244589207,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29030295,166217049,432738,9817748,0,0,0,0,828,11,65236,3587345,208811,160658048,0,0,0,61644,3391583,106958,159830936,0.0,0.0,0.0,0,0,35,35,-44,0,0,-34.0,25.0
1768227244599147,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29030418,166217049,432743,9817748,0,0,0,0,835,14,65236,3587345,208811,160658048,0,0,0,61644,3391583,106958,159830936,0.0,0.0,0.0,0,0,35,35,-44,0,0,-34.0,25.0
1768227244609092,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29030418,166217165,432743,9817753,0,0,0,0,842,13,65236,3587345,208811,160658048,0,0,0,61644,3391583,106958,159830936,0.0,0.0,0.0,0,0,35,35,-44,0,0,-34.0,25.0
1768227244619059,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29030541,166217281,432748,9817758,0,0,0,0,849,7,65236,3587345,208811,160658048,0,0,0,61644,3391583,106958,159830936,0.0,0.0,0.0,0,0,35,35,-44,0,0,-34.0,25.0
1768227244629059,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29030664,166217281,432753,9817763,0,0,4294967180,0,856,4,65236,3587345,208811,160658048,0,0,0,61644,3391583,106958,159830936,0.0,0.0,0.0,0,0,35,35,-44,0,0,-34.0,25.0
1768227244639014,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29030664,166217397,432753,9817763,0,0,0,0,862,16,65236,3587345,208811,160658048,0,0,0,61644,3391583,106958,159830936,0.0,0.0,0.0,0,0,35,35,-44,0,0,-34.0,25.0
1768227244649061,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29030787,166217513,432758,9817768,0,0,0,0,869,10,65236,3587345,208811,160658048,0,0,0,61644,3391583,106958,159830936,0.0,0.0,0.0,0,0,35,35,-44,0,0,-34.0,25.0
1768227244659033,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29030910,166217513,432763,9817773,0,0,4294967180,0,876,4,65236,3587345,208811,160658048,0,0,0,61644,3391583,106958,159830936,0.0,0.0,0.0,0,0,35,35,-44,0,0,-34.0,25.0
