timestamp,rnti,cqi,pusch_snr,pucch_snr,dl_bler,ul_bler,dl_mcs1,dl_mcs2,ul_mcs1,ul_mcs2,dl_tbs,ul_tbs,dl_aggr_tbs,ul_aggr_tbs,dl_prb,ul_prb,dl_sched_rb,ul_sched_rb,bsr,phr,frame,slot,rlc_tx_pkts,rlc_tx_bytes,rlc_rx_pkts,rlc_rx_bytes,rlc_txbuf,rlc_rxbuf,rlc_retx,pdcp_tx_pkts,pdcp_tx_bytes,pdcp_rx_pkts,pdcp_rx_bytes
1768176846489031,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,141201,130948,5755,5852,0,0,0,0,661,1,5,15,17,330,0,0,0,0,0,5,255
1768176846499434,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,141201,130948,5755,5852,0,0,0,0,661,18,5,15,17,330,0,0,0,0,0,5,255
1768176846509330,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,141201,130948,5755,5852,0,0,0,0,662,17,5,15,17,330,0,0,0,0,0,5,255
1768176846519476,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,141201,130948,5755,5852,0,0,0,0,663,17,5,15,17,330,0,0,0,0,0,5,255
1768176846529527,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,141201,130948,5755,5852,0,0,0,0,664,14,5,15,17,330,0,0,0,0,0,5,255
1768176846539026,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,141201,130948,5755,5852,0,0,0,0,665,14,5,15,17,330,0,0,0,0,0,5,255
1768176846549136,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,141201,130948,5755,5852,0,0,0,0,666,11,5,15,17,330,0,0,0,0,0,5,255
1768176846559024,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,141201,130948,5755,5852,0,0,0,0,667,7,5,15,17,330,0,0,0,0,0,5,255
1768176846569641,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,141201,130948,5755,5852,0,0,0,0,668,4,5,15,17,330,0,0,0,0,0,5,255
1768176846579087,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,141201,130948,5755,5852,0,0,0,0,669,4,5,15,17,330,0,0,0,0,0,5,255
1768176846589258,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,141201,130948,5755,5857,0,0,4294967180,0,670,6,5,15,17,330,0,0,0,0,0,5,255
